model,params,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,best_epoch
Linear,7850,1.5273189556598663,59.25,0.8388604748249054,82.12,82.41000000000001,7
MLP,235146,1.3758818418979646,63.32333333333333,0.640214987039566,87.33,87.8,9
CNN_SPP,32266,1.4061647069454193,63.52166666666667,0.6199527399539948,88.61,88.61,10
SE_CNN_SPP,33362,1.406615897655487,63.55666666666666,0.6464248905181885,89.11,89.11,10
