model,params,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,best_epoch
CNN_SPP,32266,0.2232959098517895,91.86666666666666,0.2643388115167618,90.46,90.59,9
SE-CNN_SPP (GAP),33362,0.2179912978261709,92.11166666666666,0.270900845348835,90.28,90.55,9
SE-CNN_SPP (Flatten),442058,0.1424140947163105,94.765,0.2401738070845604,91.92,92.01,7
"SE-CNN_SPP (Flatten, RandFrozen)",32266,0.2225487387031317,91.97999999999999,0.2955647320151329,89.47,90.27,7
