model,params,loss,best_epoch,epochs_trained,best_val_loss,final_test_loss,final_test_acc
Linear (CE+ES),7850,CE,5,10,0.8388402228355407,0.8458827573776245,81.28999999999999
Linear (GCE+ES),7850,GCE,5,10,0.5971113572120667,0.6153224685668945,82.91
MLP (CE+ES),235146,CE,10,15,0.6060817540486654,0.6287084156036377,86.94
MLP (GCE+ES),235146,GCE,2,7,0.7478324405352275,0.7801098345756531,83.17
CNN (CE+ES),32266,CE,18,23,0.6117628785769145,0.6240241995811462,89.18
CNN (GCE+ES),32266,GCE,3,8,0.4808861277103424,0.5202112422943115,86.53
SE-CNN (CE+ES),33362,CE,5,10,0.6336021235783895,0.6472115963935852,87.75
SE-CNN (GCE+ES),33362,GCE,11,16,0.47129337445894876,0.5376330229759216,89.32
