model,params,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,best_epoch
CNN_1x1GAP,19466,0.5570673179030419,80.44666666666667,0.5579613312482834,80.76,80.76,10
CNN_FlattenFC,50186,0.18695668587088585,93.26166666666667,0.2471268403828144,91.18,91.18,10
CNN_SPP,32266,0.2232959098517895,91.86666666666666,0.2643388115167618,90.46,90.59,9
