model,params,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,best_epoch
Linear,7850,0.4033471132814884,86.12333333333333,0.446537827193737,84.22,84.22,10
MLP,235146,0.2379952754378319,91.02333333333334,0.3306007763147354,88.62,88.72,9
CNN_SPP,32266,0.2232959098517895,91.86666666666666,0.2643388115167618,90.46,90.59,9
SE_CNN_SPP,33362,0.2179912978261709,92.11166666666666,0.270900845348835,90.28,90.55,9
